Word,Freq,Rank
the,133583,1
and,95442,2
that,28798,3
his,21402,4
for,19527,5
was,18715,6
with,17599,7
not,17373,8
you,16398,9
but,13944,10
all,13725,11
they,13104,12
him,13012,13
shall,11682,14
her,11552,15
had,10317,16
them,10245,17
have,10116,18
said,9429,19
she,9078,20
from,9076,21
unto,9010,22
this,8915,23
which,8775,24
lord,8590,25
their,7806,26
will,7368,27
were,6871,28
are,6854,29
thou,6759,30
there,6380,31
when,6330,32
one,6218,33
what,5792,34
out,5771,35
man,5615,36
thy,5609,37
god,5287,38
your,5121,39
then,5091,40
thee,4807,41
now,4677,42
upon,4587,43
who,4262,44
into,4098,45
more,4062,46
would,4046,47
very,4009,48
come,3642,49
could,3594,50
like,3468,51
before,3449,52
been,3410,53
any,3357,54
came,3337,55
day,3326,56
king,3149,57
did,3121,58
little,3065,59
know,3057,60
than,2908,61
house,2900,62
good,2899,63
every,2892,64
see,2885,65
great,2859,66
these,2850,67
down,2819,68
people,2802,69
some,2756,70
son,2754,71
made,2744,72
say,2737,73
men,2726,74
after,2723,75
how,2716,76
our,2714,77
time,2707,78
let,2676,79
about,2595,80
israel,2592,81
such,2560,82
over,2559,83
should,2550,84
may,2549,85
hath,2535,86
well,2509,87
only,2506,88
even,2480,89
other,2451,90
hand,2446,91
two,2374,92
must,2333,93
can,2327,94
father,2319,95
against,2317,96
much,2308,97
went,2307,98
make,2255,99
children,2253,100
yet,2234,101
own,2221,102
also,2186,103
again,2122,104
land,2081,105
old,2081,106
away,2027,107
things,1977,108
thing,1974,109
might,1963,110
first,1937,111
way,1917,112
because,1896,113
mrs,1857,114
where,1853,115
never,1838,116
give,1830,117
take,1803,118
nor,1801,119
here,1782,120
long,1765,121
saying,1746,122
though,1738,123
himself,1702,124
think,1693,125
earth,1682,126
shalt,1673,127
those,1668,128
ever,1656,129
has,1653,130
being,1652,131
saw,1636,132
therefore,1628,133
heard,1599,134
put,1592,135
many,1591,136
through,1589,137
place,1588,138
without,1581,139
off,1576,140
most,1523,141
heart,1500,142
head,1495,143
name,1493,144
too,1485,145
nothing,1469,146
behold,1468,147
life,1447,148
eyes,1428,149
whom,1424,150
among,1405,151
thus,1366,152
still,1355,153
thought,1353,154
sea,1351,155
last,1333,156
just,1332,157
done,1322,158
word,1303,159
its,1291,160
world,1285,161
face,1275,162
why,1272,163
night,1270,164
days,1270,165
same,1268,166
saith,1267,167
found,1263,168
voice,1258,169
another,1256,170
whale,1254,171
took,1242,172
hear,1235,173
brought,1231,174
hast,1230,175
three,1228,176
while,1222,177
mother,1213,178
forth,1195,179
sons,1191,180
miss,1190,181
look,1187,182
heaven,1185,183
set,1181,184
side,1166,185
round,1162,186
young,1158,187
tell,1153,188
right,1148,189
called,1138,190
under,1126,191
back,1123,192
love,1121,193
david,1110,194
neither,1109,195
cried,1107,196
pass,1090,197
seemed,1086,198
soon,1081,199
quite,1079,200
both,1072,201
words,1057,202
city,1052,203
sir,1050,204
thine,1047,205
years,1023,206
left,1023,207
mine,1020,208
till,1018,209
always,1013,210
hands,1006,211
speak,1003,212
bring,996,213
jesus,988,214
looked,984,215
high,982,216
death,981,217
herself,971,218
woman,966,219
together,964,220
far,946,221
sent,944,222
something,942,223
whole,938,224
seen,935,225
once,931,226
stood,930,227
sure,921,228
thereof,920,229
half,916,230
gave,914,231
soul,910,232
poor,907,233
end,896,234
fire,890,235
work,887,236
morning,877,237
